0, 175, 249, 254
1, 173, 249, 260
2, 173, 250, 256
3, 173, 250, 260
4, 173, 250, 262
5, 173, 250, 257
6, 172, 250, 252
7, 172, 250, 257
8, 172, 250, 254
9, 172, 250, 261
10, 172, 250, 255
11, 171, 250, 256
12, 172, 250, 253
13, 172, 250, 250
14, 172, 250, 250
15, 171, 250, 246
16, 171, 250, 250
17, 170, 250, 250
18, 170, 250, 252
19, 170, 251, 248
20, 170, 251, 249
21, 169, 251, 252
22, 170, 251, 251
23, 169, 251, 254
24, 169, 251, 252
25, 169, 251, 248
26, 169, 251, 245
27, 169, 251, 249
28, 169, 251, 249
29, 169, 251, 248
30, 168, 251, 250
31, 168, 251, 249
32, 168, 251, 251
33, 168, 251, 253
34, 167, 251, 253
35, 167, 251, 257
36, 167, 251, 255
37, 167, 251, 253
38, 167, 251, 254
39, 167, 251, 251
40, 166, 251, 253
41, 165, 251, 258
42, 166, 252, 251
43, 166, 251, 249
44, 166, 252, 251
45, 165, 251, 246
46, 164, 251, 249
47, 164, 251, 251
48, 164, 251, 248
49, 164, 251, 254
50, 163, 251, 251
51, 163, 251, 253
52, 163, 252, 252
53, 162, 252, 252
54, 161, 252, 257
55, 161, 252, 253
56, 161, 251, 252
57, 160, 252, 252
58, 161, 251, 254
59, 160, 251, 256
60, 160, 251, 260
61, 160, 251, 261
62, 160, 251, 261
63, 160, 251, 258
64, 160, 251, 257
65, 159, 251, 256
66, 158, 251, 260
67, 159, 251, 258
68, 159, 251, 261
69, 159, 251, 258
70, 160, 251, 257
71, 159, 251, 253
72, 159, 251, 252
73, 159, 251, 252
74, 158, 251, 249
75, 158, 251, 245
76, 158, 251, 257
77, 158, 251, 250
78, 157, 251, 251
79, 157, 251, 255
80, 157, 251, 257
81, 156, 251, 253
82, 156, 251, 256
83, 156, 251, 254
84, 155, 251, 253
85, 155, 252, 250
86, 155, 252, 257
87, 155, 252, 256
88, 154, 251, 256
89, 154, 252, 256
90, 154, 252, 257
91, 153, 252, 256
92, 153, 252, 261
93, 153, 252, 261
94, 152, 252, 259
95, 152, 252, 260
96, 152, 252, 255
97, 151, 252, 262
98, 151, 252, 260
99, 151, 252, 263
100, 150, 252, 261
101, 150, 252, 260
102, 150, 252, 264
103, 150, 252, 259
104, 149, 252, 263
105, 149, 252, 260
106, 149, 252, 263
107, 148, 252, 264
108, 148, 252, 259
109, 148, 253, 255
110, 148, 253, 254
111, 148, 253, 257
112, 147, 253, 258
113, 147, 253, 260
114, 147, 253, 263
115, 146, 253, 262
116, 147, 253, 260
117, 147, 253, 261
118, 146, 253, 259
119, 146, 253, 256
120, 145, 253, 255
121, 145, 253, 253
122, 145, 253, 258
123, 145, 253, 253
124, 144, 253, 250
125, 145, 253, 255
126, 145, 253, 252
127, 144, 253, 249
128, 144, 253, 251
129, 144, 252, 258
130, 143, 253, 253
131, 143, 252, 253
132, 143, 253, 254
133, 141, 253, 249
134, 142, 253, 249
135, 142, 252, 251
136, 142, 252, 256
